,Timeframe:,UFOs,Month
0,UFOs before corona (monthly mean),17.206138821067317,1
1,UFOs before corona (monthly mean),13.924772036474165,2
2,UFOs before corona (monthly mean),14.32052161976664,3
3,UFOs before corona (monthly mean),15.81444018137426,4
4,UFOs before corona (monthly mean),15.716777118939653,5
5,UFOs before corona (monthly mean),18.932624113475182,6
6,UFOs before corona (monthly mean),28.605200945626475,7
7,UFOs before corona (monthly mean),23.679804673875125,8
8,UFOs during corona (monthly mean),18.191489361702125,1
9,UFOs during corona (monthly mean),18.882978723404253,2
10,UFOs during corona (monthly mean),28.851063829787233,3
11,UFOs during corona (monthly mean),48.03191489361702,4
12,UFOs during corona (monthly mean),31.319148936170215,5
13,UFOs during corona (monthly mean),17.606382978723406,6
14,UFOs during corona (monthly mean),28.670212765957444,7
15,UFOs during corona (monthly mean),31.574468085106382,8
